# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.199904e-06  	T             	7.729480e+02	(1.750000e-05 4.050000e-05 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
2.639616e-06  	T             	7.729488e+02	(2.350000e-05 4.050000e-05 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
4.367171e-06  	T             	7.729495e+02	(2.750000e-05 4.050000e-05 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
6.440094e-06  	T             	7.729501e+02	(3.250000e-05 4.050000e-05 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
8.927291e-06  	T             	7.729508e+02	(3.750000e-05 4.050000e-05 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
1.191148e-05  	T             	7.729515e+02	(4.150000e-05 4.050000e-05 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
1.549144e-05  	T             	7.729522e+02	(4.550000e-05 7.950000e-05 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
1.978585e-05  	T             	7.729531e+02	(4.950000e-05 7.950000e-05 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
2.493826e-05  	T             	7.729542e+02	(5.150000e-05 7.950000e-05 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
3.11186e-05   	T             	7.729558e+02	(5.350000e-05 7.950000e-05 5.000000e-07)	1	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
3.853041e-05  	T             	7.729579e+02	(5.450000e-05 7.950000e-05 5.000000e-07)	1	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
4.742458e-05  	T             	7.729605e+02	(5.550000e-05 7.950000e-05 5.000000e-07)	1	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
5.809186e-05  	T             	7.729637e+02	(5.550000e-05 7.950000e-05 5.000000e-07)	1	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
7.088711e-05  	T             	7.729672e+02	(5.650000e-05 7.950000e-05 5.000000e-07)	1	7.730018e+02	(1.005000e-04 4.950000e-05 5.000000e-07)	1
8.62335e-05   	T             	7.729712e+02	(5.550000e-05 7.950000e-05 5.000000e-07)	1	7.730061e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0001046264  	T             	7.729757e+02	(5.550000e-05 7.950000e-05 5.000000e-07)	1	7.730147e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0001266651  	T             	7.729807e+02	(5.250000e-05 7.950000e-05 5.000000e-07)	0	7.730303e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0001530644  	T             	7.729865e+02	(4.750000e-05 7.950000e-05 5.000000e-07)	0	7.730569e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0001847265  	T             	7.729911e+02	(3.145000e-04 5.000000e-07 5.000000e-07)	5	7.731002e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0002226233  	T             	7.729918e+02	(3.225000e-04 5.000000e-07 5.000000e-07)	6	7.731680e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0002680995  	T             	7.729924e+02	(3.335000e-04 5.000000e-07 5.000000e-07)	6	7.732715e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0003224677  	T             	7.729929e+02	(3.505000e-04 5.000000e-07 5.000000e-07)	6	7.734253e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0003874176  	T             	7.729933e+02	(3.905000e-04 1.050000e-05 5.000000e-07)	7	7.736490e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0004649384  	T             	7.729935e+02	(4.195000e-04 1.500000e-06 5.000000e-07)	7	7.739684e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0005575118  	T             	7.729944e+02	(4.195000e-04 5.000000e-07 5.000000e-07)	7	7.744173e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0006569064  	T             	7.729965e+02	(4.195000e-04 5.000000e-07 5.000000e-07)	7	7.749692e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.000756301   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.755845e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0008556956  	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.762576e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0009550903  	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.769842e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.001054485   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.777605e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.001153879   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.785837e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.001253274   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.794515e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.001352669   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.803622e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.001452063   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.813145e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.001551458   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.823075e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.001650853   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.833407e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.001750247   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.844137e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.001849642   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.855267e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.001949036   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.866800e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.002048431   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.878740e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.002147826   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.891095e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.00224722    	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.903875e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.002346615   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.917092e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.002446009   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.930760e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.002545404   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.944894e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.002644799   	T             	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	7.959513e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
