# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.199999e-08  	T             	5.727960e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	5.730000e+02	(1.575000e-04 2.950000e-05 5.000000e-07)	2
2.639996e-08  	T             	5.727752e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	5.730000e+02	(1.585000e-04 2.950000e-05 5.000000e-07)	2
4.367991e-08  	T             	5.727859e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	5.730000e+02	(3.665000e-04 5.000000e-07 5.000000e-07)	6
6.441582e-08  	T             	5.728070e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	5.730000e+02	(3.665000e-04 5.000000e-07 5.000000e-07)	6
8.92989e-08   	T             	5.728191e+02	(1.500000e-06 7.950000e-05 5.000000e-07)	0	5.730000e+02	(3.655000e-04 5.000000e-07 5.000000e-07)	6
1.191586e-07  	T             	5.728170e+02	(1.500000e-06 1.500000e-06 5.000000e-07)	0	5.730000e+02	(1.495000e-04 3.850000e-05 5.000000e-07)	3
1.549901e-07  	T             	5.728182e+02	(1.500000e-06 2.500000e-06 5.000000e-07)	0	5.730000e+02	(2.295000e-04 4.150000e-05 5.000000e-07)	4
1.97988e-07   	T             	5.728229e+02	(1.500000e-06 3.950000e-05 5.000000e-07)	0	5.730000e+02	(2.295000e-04 4.150000e-05 5.000000e-07)	4
2.495853e-07  	T             	5.728298e+02	(1.500000e-06 3.950000e-05 5.000000e-07)	0	5.730000e+02	(2.295000e-04 4.050000e-05 5.000000e-07)	4
3.115017e-07  	T             	5.728308e+02	(2.500000e-06 3.950000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
3.858013e-07  	T             	5.728262e+02	(2.500000e-06 4.050000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
4.749602e-07  	T             	5.728264e+02	(2.500000e-06 3.950000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
5.819505e-07  	T             	5.728315e+02	(2.500000e-06 4.050000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
7.103374e-07  	T             	5.728327e+02	(3.500000e-06 7.550000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
8.644002e-07  	T             	5.728364e+02	(3.500000e-06 5.500000e-06 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
1.049275e-06  	T             	5.728447e+02	(3.500000e-06 6.500000e-06 5.000000e-07)	0	5.730015e+02	(1.395000e-04 3.950000e-05 5.000000e-07)	3
1.271124e-06  	T             	5.728536e+02	(4.500000e-06 6.500000e-06 5.000000e-07)	0	5.730077e+02	(1.785000e-04 3.950000e-05 5.000000e-07)	2
1.537338e-06  	T             	5.728681e+02	(4.500000e-06 7.500000e-06 5.000000e-07)	0	5.730183e+02	(9.650000e-05 4.050000e-05 5.000000e-07)	1
1.856788e-06  	T             	5.728824e+02	(5.500000e-06 7.500000e-06 5.000000e-07)	0	5.730295e+02	(9.550000e-05 4.050000e-05 5.000000e-07)	1
2.240123e-06  	T             	5.728851e+02	(5.500000e-06 8.500000e-06 5.000000e-07)	0	5.730333e+02	(9.350000e-05 3.950000e-05 5.000000e-07)	1
2.700107e-06  	T             	5.728763e+02	(5.500000e-06 9.500000e-06 5.000000e-07)	0	5.730253e+02	(9.150000e-05 3.950000e-05 5.000000e-07)	1
3.252078e-06  	T             	5.728595e+02	(6.500000e-06 6.950000e-05 5.000000e-07)	0	5.730102e+02	(8.950000e-05 3.950000e-05 5.000000e-07)	1
3.914421e-06  	T             	5.728473e+02	(7.500000e-06 6.950000e-05 5.000000e-07)	0	5.730002e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
4.709212e-06  	T             	5.728453e+02	(8.500000e-06 6.850000e-05 5.000000e-07)	0	5.730000e+02	(1.845000e-04 3.550000e-05 5.000000e-07)	2
5.662961e-06  	T             	5.728488e+02	(8.500000e-06 6.650000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
6.807395e-06  	T             	5.728515e+02	(9.500000e-06 6.550000e-05 5.000000e-07)	0	5.730008e+02	(1.295000e-04 5.950000e-05 5.000000e-07)	3
8.180652e-06  	T             	5.728517e+02	(1.050000e-05 6.450000e-05 5.000000e-07)	0	5.730009e+02	(8.350000e-05 4.050000e-05 5.000000e-07)	1
9.82838e-06   	T             	5.728512e+02	(1.150000e-05 6.350000e-05 5.000000e-07)	0	5.730004e+02	(1.295000e-04 6.150000e-05 5.000000e-07)	3
1.180546e-05  	T             	5.728510e+02	(1.250000e-05 6.150000e-05 5.000000e-07)	0	5.730002e+02	(1.295000e-04 6.350000e-05 5.000000e-07)	3
1.417795e-05  	T             	5.728511e+02	(1.450000e-05 6.050000e-05 5.000000e-07)	0	5.730002e+02	(1.295000e-04 6.650000e-05 5.000000e-07)	3
1.702454e-05  	T             	5.728509e+02	(1.550000e-05 5.850000e-05 5.000000e-07)	0	5.730001e+02	(1.295000e-04 7.150000e-05 5.000000e-07)	3
2.043985e-05  	T             	5.728510e+02	(1.650000e-05 5.650000e-05 5.000000e-07)	0	5.730001e+02	(1.315000e-04 7.950000e-05 5.000000e-07)	3
2.453824e-05  	T             	5.728509e+02	(1.850000e-05 5.350000e-05 5.000000e-07)	0	5.730001e+02	(1.335000e-04 7.950000e-05 5.000000e-07)	3
2.945468e-05  	T             	5.728509e+02	(2.050000e-05 4.950000e-05 5.000000e-07)	0	5.730002e+02	(1.005000e-04 4.050000e-05 5.000000e-07)	1
3.535441e-05  	T             	5.728508e+02	(2.250000e-05 4.050000e-05 5.000000e-07)	0	5.730006e+02	(1.005000e-04 4.050000e-05 5.000000e-07)	1
4.243157e-05  	T             	5.728508e+02	(2.450000e-05 4.050000e-05 5.000000e-07)	0	5.730018e+02	(1.005000e-04 4.050000e-05 5.000000e-07)	1
5.092055e-05  	T             	5.728507e+02	(2.650000e-05 4.050000e-05 5.000000e-07)	0	5.730050e+02	(1.005000e-04 4.050000e-05 5.000000e-07)	1
6.110384e-05  	T             	5.728507e+02	(2.950000e-05 4.050000e-05 5.000000e-07)	0	5.730121e+02	(1.005000e-04 4.050000e-05 5.000000e-07)	1
7.331379e-05  	T             	5.728507e+02	(3.250000e-05 3.950000e-05 5.000000e-07)	0	5.730261e+02	(1.005000e-04 4.050000e-05 5.000000e-07)	1
8.795492e-05  	T             	5.728509e+02	(3.550000e-05 3.950000e-05 5.000000e-07)	0	5.730509e+02	(1.005000e-04 4.050000e-05 5.000000e-07)	1
0.0001054984  	T             	5.728516e+02	(3.850000e-05 3.950000e-05 5.000000e-07)	0	5.730905e+02	(1.005000e-04 4.050000e-05 5.000000e-07)	1
0.0001265505  	T             	5.728537e+02	(4.150000e-05 7.950000e-05 5.000000e-07)	0	5.731484e+02	(1.005000e-04 4.050000e-05 5.000000e-07)	1
0.0001518023  	T             	5.728581e+02	(4.350000e-05 7.950000e-05 5.000000e-07)	0	5.732260e+02	(1.005000e-04 4.050000e-05 5.000000e-07)	1
